,Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
0,2017-12-01,254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,0,1
1,2017-12-01,204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,0,1
2,2017-12-01,173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,0,1
3,2017-12-01,107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,0,1
4,2017-12-01,78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,0,1
5,2017-12-01,100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,0,1
6,2017-12-01,181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,0,1
7,2017-12-01,460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,0,1
8,2017-12-01,930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,0,1
9,2017-12-01,490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,0,1
10,2017-12-01,339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,0,1
11,2017-12-01,360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,0,1
12,2017-12-01,449,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,0,1
13,2017-12-01,451,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,0,1
14,2017-12-01,447,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,0,1
15,2017-12-01,463,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,0,1
16,2017-12-01,484,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,0,1
17,2017-12-01,555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,0,1
18,2017-12-01,862,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,0,1
19,2017-12-01,600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,0,1
20,2017-12-01,426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,0,1
21,2017-12-01,405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,0,1
22,2017-12-01,398,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,0,1
23,2017-12-01,323,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,0,1
24,2017-12-02,328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,0,1
25,2017-12-02,308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,0,1
26,2017-12-02,262,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,0,1
27,2017-12-02,167,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,0,1
28,2017-12-02,89,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,Winter,0,1
29,2017-12-02,79,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,0,1
30,2017-12-02,70,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,0,1
31,2017-12-02,146,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,0,1
32,2017-12-02,219,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,Winter,0,1
33,2017-12-02,328,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,0,1
34,2017-12-02,334,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,0,1
35,2017-12-02,388,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,0,1
36,2017-12-02,479,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,0,1
37,2017-12-02,606,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,0,1
38,2017-12-02,611,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,0,1
39,2017-12-02,589,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,Winter,0,1
40,2017-12-02,618,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,0,1
41,2017-12-02,572,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,0,1
42,2017-12-02,489,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,0,1
43,2017-12-02,385,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,0,1
44,2017-12-02,359,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,0,1
45,2017-12-02,377,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,Winter,0,1
46,2017-12-02,354,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,0,1
47,2017-12-02,366,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,0,1
48,2017-12-03,342,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,Winter,0,1
49,2017-12-03,227,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,Winter,0,1
50,2017-12-03,228,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,Winter,0,1
51,2017-12-03,117,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,0,1
52,2017-12-03,76,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,Winter,0,1
53,2017-12-03,32,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,Winter,0,1
54,2017-12-03,13,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,Winter,0,1
55,2017-12-03,22,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,0,1
56,2017-12-03,85,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,Winter,0,1
57,2017-12-03,152,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,Winter,0,1
58,2017-12-03,200,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Winter,0,1
59,2017-12-03,273,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,0,1
60,2017-12-03,333,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,Winter,0,1
